entry,meaning,ipa,example_sentence,translated_sentence
align,"【動】整列させる, 調整する.",/əˈlaɪn/,Please align the pictures on the wall.,壁の絵を整列してください。
allowance,"【名】手当, 許容量.",/əˈlaʊəns/,The government has decided to increase the allowance for low-income families.,政府は低所得家庭への割り当てを増やすことを決定しました。
alpha,"【名】アルファ, 第一のもの.",/'ælfə/,The first letter of the Greek alphabet is alpha.,ギリシャ文字の最初の文字はアルファです。
census,【名】国勢調査.,/'sɛnsəs/,The government conducts a census every ten years to gather demographic information.,政府は10年ごとに国勢調査を実施して人口統計情報を収集します。
array,"【名】配列, 一連.",/əˈreɪ/,I arrayed the books in the shelves.,本を棚に並べました。
assertion,"【名】主張, 断言.",/əˈsɜːrʃən/,His assertion that he had never stolen anything was hard to believe.,彼が何も盗んだことがないという彼の断言は信じがたかった。
atom,【名】原子.,/ˈætəm/,The atom is the basic unit of a chemical element.,原子は化学元素の基本単位です。
attain,"【動】達成する, 獲得する.",/əˈteɪn/,"With hard work and dedication, you can attain your goals.",努力と献身で、あなたは目標を達成することができます。
auction,"【名】オークション, 競売.",/ˈɔːkʃən/,I won the bid at the auction.,私はオークションで入札に勝ちました。
automobile,【名】自動車.,/ˈɔː.tə.mə.biːl/,I bought a new automobile yesterday.,私は昨日新しい自動車を買いました。
aversion,"【名】嫌悪, 避けること.",/əˈvɜːrʒən/,He had an aversion to anything sweet.,彼は甘いものに対して嫌悪感を持っていた。
basket,"【名】バスケット, 籠.",/'bæskɪt/,I put the apples in the basket.,私はリンゴをかごに入れました。
bilateral,"【形】二国間の, 両者の.",/baɪˈlætərəl/,The two countries have a strong bilateral relationship.,2つの国は強い二国間関係を持っています。
blend,【動】混ぜる;【名】混合.,/blɛnd/,The artist skillfully blends the colors to create a beautiful painting.,アーティストは色を巧みに混ぜ合わせて美しい絵を作り出します。
bounce,【動】跳ね返る;【名】跳ね返り.,/baʊns/,The ball will bounce when it hits the ground.,ボールは地面に当たるとはずみます。
brokerage,"【名】仲介業, 仲介手数料.",/ˈbrəʊkərɪdʒ/,I contacted a brokerage firm to help me invest in stocks.,私は株式投資のために証券会社に連絡しました。
bureaucrat,【名】官僚.,/bjʊəˈrɒkræt/,The bureaucrat was responsible for handling the paperwork.,その官僚は書類の処理を担当していました。
inflow,【名】流入.,/ˈɪnˌfloʊ/,The inflow of tourists has significantly increased in recent years.,観光客の流入は近年、大幅に増加しています。
cabinet,"【名】内閣, 政府.",/'kæbɪnət/,The president appointed a new cabinet.,大統領は新しい閣僚を任命しました
calendar,【名】カレンダー.,/ˈkæl.ən.dər/,I always mark important dates on my calendar.,私はいつも大切な日付をカレンダーに記入します。
campus,【名】キャンパス.,/'kæmpəs/,I love walking around the campus and exploring all the different buildings.,私はキャンパスを散策して、さまざまな建物を探検するのが好きです。
capitalize,"【動】資本化する, 利用する.",/ˈkæpɪtəˌlaɪz/,Please remember to capitalize the first letter of each word.,各単語の最初の文字を大文字にすることを覚えてください。
captain,"【名】船長, キャプテン.",/ˈkæp.tən/,The captain of the ship is responsible for the safety of the crew and passengers.,船長は乗組員と乗客の安全を責任を持っています。
carrier,"【名】運搬業者, 輸送業者.",/ˈkæriər/,The carrier transported the goods to the warehouse.,運搬人は商品を倉庫に運びました。
certification,"【名】認証, 認定.",/sɝː.tɪ.fɪˈkeɪ.ʃən/,She received her certification as a yoga instructor.,彼女はヨガインストラクターの資格を取得しました。
celebrity,【名】有名人.,/səˈlɛbrəti/,"On encountering the celebrity, they asked for his autograph.",彼らは有名人と出くわすなり、サインをもとめた。
cease,"【動】やめる, 中止する.",/sis/,The fighting ceased after the peace treaty was signed.,平和条約が署名された後、戦闘は終了した。
certificate,"【名】証明書, 証書.",/sərˈtɪfɪkət/,I received a certificate for completing the course.,私はコースを修了したことを証明するための証明書を受け取りました。
chaos,"【名】混乱, 混沌.",/ˈkeɪ.ɒs/,The world was in chaos before the creation of heaven and earth.,天地創造以前、世界は混とんとしていました。
client,"【名】依頼人, 顧客.",/'klaɪənt/,The lawyer met with the client to discuss the case.,弁護士は依頼人と会って事件について話し合った。
clinic,"【名】診療所, クリニック.",/'klɪnɪk/,I have an appointment at the clinic tomorrow.,明日、私はクリニックで予約があります。
clue,"【名】手掛かり, 糸口.",/kl(uː)/,I found a clue that led me to the hidden treasure.,私は隠された宝物へと導く手がかりを見つけました。
collectively,"【副】全体的に, 集合的に.",/kəˈlɛktɪvli/,The team was able to achieve their goal because they worked collectively towards it.,チームが目標を達成できたのは、その目標に向かって一丸となって取り組んだからです。
colonial,"【形】植民地の, 植民地時代の.",/kəˈloʊnɪəl/,The country gained independence from its colonial rulers.,その国は植民地支配者から独立を達成した。
commissioner,"【名】委員, 委員会.",/kəˈmɪʃənər/,The commissioner appointed a new committee.,政付が新しい委員会を任命しました。
commentator,"【名】解説者, コメンテーター.",/kɒmənˈteɪtər/,The commentator provided insightful analysis during the live broadcast.,注釈者は生放送中に洞察力のある分析を提供しました。
compel,"【動】強制する, 強いる.",/kəmˈpɛl/,The evidence was compelling enough to convince the jury of his guilt.,証拠は十分に説得力があり、陪審団を彼の有罪に納得させるには十分だった。
comparable,"【形】比較できる, 匹敵する.",/kəmˈpærəbəl/,The performance of the new model is comparable to that of the previous version.,新しいモデルの性能は、前のバージョンと匹敵しています。
competent,"【形】有能な, 能力のある.",/kɑmˈpɪtənt/,She is a competent manager who can handle any task efficiently.,彼女はどんな仕事も効率的に処理できる有能なマネージャーです。
compile,"【動】編集する, 編纂する.",/kəmˈpaɪl/,I need to compile all the data before the meeting.,会議前にすべてのデータをまとめる必要があります。
compliance,"【名】順守, 遵守.",/kəmˈplaɪəns/,Compliance with the rules is mandatory.,ルールに従うことは義務です。
conjunction,"【名】結合, 連結.",/kənˈdʒʌŋkʃən/,I like to read books and watch movies.,私は本を読むことと映画を見ることが好きです。
consent,"【名】同意, 承諾.",/kənˈsɛnt/,He consented on the spot.,彼は即座に承知した。
conscious,"【形】意識的な, 自覚している.",/ˈkɒnʃəs/,She is conscious of her surroundings.,彼女は周囲に気づいている。
consolidation,"【名】統合, 合併.",/kənˌsɒlɪˈdeɪʃən/,The consolidation of the company's assets will lead to increased efficiency.,会社の資産の統合は効率の向上につながります。
constitution,"【名】憲法, 構成.",/kɒnstɪˈtjuːʃ(ə)n/,The constitution of this organization is well-structured.,この組織の構成はよく組み立てられています。
constructive,"【形】建設的な, 生産的な.",/kənˈstrʌktɪv/,She provided constructive feedback on my project.,彼女は私のプロジェクトに建設的なフィードバックを提供しました。
consumption,"【名】消費, 消費量.",/kənˈsʌmpʃən/,The consumption of fast food has increased significantly in recent years.,最近、ファストフードの消費量が大幅に増加しています。
corrective,【形】矯正的な;【名】矯正手段.,/kəˈrɛktɪv/,He received corrective feedback from his teacher.,彼は先生から訂正のフィードバックを受けました。
corruption,"【名】腐敗, 汚職.",/kəˈrʌpʃən/,Corruption is a serious problem in many countries.,腐敗は多くの国で深刻な問題です。
correspondent,"【名】特派員, 通信員.",/kɒrəˈspɒndənt/,The correspondent reported live from the scene of the protest.,特派員は抗議の現場から生中継しました。
coupon,"【名】クーポン, 優待券.",/ˈkuːpɑːn/,I used a coupon to get a discount on my purchase.,私はクーポンを使って購入品の割引を受けました。
coup,【名】クーデター.,/kʊp/,The military staged a coup to overthrow the government.,軍事が政府を転覆させるためにクーデターを行った。
unchanged,"【形】変わらない, 一定の.",/ʌnˈtʃeɪndʒd/,The weather remained unchanged throughout the day.,一日中天気は変わらなかった。
decimal,【形】小数の;【名】小数点.,/dɪˈsɛməl/,The result of the calculation is a decimal number.,計算結果は小数になります。
decree,"【名】法令, 命令.",/dɪˈkriː/,The king issued a decree to ban hunting in the forest.,王は森での狩猟を禁止する布告を出した。
declaration,"【名】宣言, 宣告.",/dɛkləˈreɪʃən/,The president made a declaration about the new policy.,大統領は新しい政策について宣言をした。
deduction,"【名】控除, 差引.",/dɪˈdʌkʃən/,The deduction for charitable donations is a great incentive for people to give to worthy causes.,慈善寄付金の控除は、人々が価値ある目的に寄付する大きな動機となります。
decent,"【形】まともな, 上品な.",/'dɪsənt/,He is a decent person who always follows social and moral norms.,彼はいつも社会的・道徳的な規範にかなって行動するきちんとした人物です。
departure,"【名】出発, 離脱.",/dɪˈpɑːtʃər/,I watched my friends' departure as they left for a faraway land.,友達たちが遠い土地に向かって立ち去るのを見送った。
depreciate,【動】減価償却する.,/dɪˈpriːʃieɪt/,The value of the car will depreciate over time.,車の価値は時間とともに下がります。
depart,"【動】出発する, 離れる.",/dɪˈpɑːrt/,My flight will depart in an hour.,私の飛行機はあと１時間で出発です。
deteriorate,"【動】悪化する, 劣化する.",/dɪˈtɪəriəreɪt/,The air quality in the city has been deteriorating due to increased pollution.,都市の空気の質は、増加した汚染によって悪化しています。
diamond,【名】ダイヤモンド.,/ˈdaɪəmənd/,The diamond's brilliancy was breathtaking.,ダイヤモンドの輝きは息をのむほどだった。
dictator,【名】独裁者.,/dɪkˈteɪ.tər/,The dictator ruled the country with an iron fist.,独裁者は鉄の拳で国を支配した。
digit,"【名】数字, 桁.",/ˈdɪdʒɪt/,She counted the number of digits on her hand.,彼女は手の指の数を数えました。
diminish,"【動】減少する, 減らす.",/dɪˈmɪnɪʃ/,The importance of regular exercise cannot be diminished.,定期的な運動の重要性は軽視できません。
diplomat,【名】外交官.,/dɪpləmæt/,The diplomat negotiated a peace treaty between the two countries.,その外交官は二つの国の間で平和条約を交渉した。
diplomatic,"【形】外交の, 外交的な.",/dɪpləˈmætɪk/,He has a diplomatic approach to resolving conflicts.,彼は紛争の解決に外交的なアプローチを持っています。
dismal,"【形】憂鬱な, 暗い.",/dɪzməl/,The weather forecast for tomorrow is dismal.,明日の天気予報は陰気です。
dislike,【動】嫌う;【名】嫌悪.,/dɪsˈlaɪk/,I dislike spiders.,私はクモが嫌いです。
dispose,"【動】処分する, 配置する.",/dɪˈspoʊz/,Please dispose of your trash in the designated bins.,指定されたゴミ箱にごみを捨ててください。
distress,"【名】苦痛, 悲嘆.",/dɪˈstrɛs/,She was in great distress after losing her job.,彼女は仕事を失った後、大変な苦悩に陥った。
domain,"【名】領域, ドメイン.",/dəˈmeɪn/,The government has control over the entire domain.,政府は全ての領地を管理しています。
donation,"【名】寄付, 寄贈.",/dəʊˈneɪʃən/,I made a donation to the charity organization.,私はチャリティ団体に寄付をしました。
dump,"【動】投棄する, 捨てる.",/dʌmp/,The refuse dump is located outside the city.,ごみ処理地は市外にあります。
durable,"【形】耐久性のある, 長持ちする.",/djʊərəbəl/,This backpack is made of durable material.,このバックパックは丈夫な素材で作られています。
editorial,【形】編集の;【名】社説.,/ˌɛdɪˈtɔːriəl/,The editorial in today's newspaper was thought-provoking.,今日の新聞の社説は考えさせられるものだった。
elastic,"【形】弾力のある, 弾性的な.",/ɪˈlæs.tɪk/,The elastic band stretched easily.,ゴムバンドは簡単に伸びました。
embody,"【動】具現化する, 具体化する.",/ɪmˈbɒdi/,She embodies grace and elegance.,彼女は優雅さと上品さを具現化している。
endorsement,"【名】承認, 支持.",/ɪnˈdɔːrsmənt/,The celebrity received a lucrative endorsement deal.,その有名人は儲かるスポンサー契約を獲得した。
endure,"【動】耐える, 我慢する.",/ɪnˈdjʊr/,She had to endure the pain for hours.,彼女は数時間の間、痛みに耐えなければならなかった。
endowment,"【名】基金, 寄付.",/ɪnˈdaʊmənt/,The university received a large endowment from a generous donor.,大学は寛大な寄付者から大きな寄付金を受け取りました。
enforceable,【形】施行可能な.,/ɪnˈfɔːrsəbəl/,The new law includes enforceable measures to protect consumers.,新しい法律には消費者を保護するための実施可能な措置が含まれています。
enlargement,"【名】拡大, 増加.",/ɪnˈlɑːrdʒmənt/,The enlargement of the image made it easier to see the details.,画像の拡大により、細部が見やすくなりました。
essence,"【名】本質, エッセンス.",/ˈɛsəns/,Understanding the essence of a problem is crucial for finding a solution.,問題の本質を理解することは解決策を見つけるために重要です。
ethics,"【名】倫理, 倫理学.",/ˈɛθɪks/,Studying ethics helps us understand moral principles and make ethical decisions.,倫理学を学ぶことは、道徳的な原則を理解し、倫理的な決定をするのに役立ちます。
ethical,"【形】倫理的な, 道徳的な.",/ˈɛθɪkəl/,She always makes ethical decisions.,彼女は常に倫理的な決定をします。
exaggerate,"【動】誇張する, 大げさに言う.",/ɪɡˈzædʒəreɪt/,She tends to exaggerate her accomplishments.,彼女は自分の成果を大げさに言いがちです。
exclusive,"【形】排他的な, 独占的な.",/ɪkˈskluːsɪv/,This offer is exclusive to our VIP members.,このオファーは私たちのVIP会員限定です。
execution,"【名】遂行, 実行.",/ˌɛk.sɪˈkjuː.ʃən/,The execution of the plan went smoothly.,計画の実行はスムーズに行われました。
expectancy,"【名】期待, 期待値.",/ɪkˈspɛktənsi/,The expectancy of winning the lottery is very low.,宝くじに当たる期待値は非常に低いです。
expiration,"【名】有効期限, 満了.",/ˌɛk.spəˈreɪ.ʃən/,expiration date by 07 DEC 2022,消費期限　2022年12月7日
expire,【動】期限が切れる.,/ɪkˈspaɪər/,The milk will expire tomorrow.,牛乳は明日賞味期限が切れます。
exploration,"【名】探査, 探検.",/ˌɛkspləˈreɪʃən/,Exploration of unknown territories is an exciting adventure.,未知の領域の探検はワクワクする冒険です。
explosive,"【形】爆発性の, 爆発力のある.",/ɪkˈspləʊsɪv/,The explosive device detonated with a loud bang.,爆発物が大きな音とともに爆発した。
explosion,"【名】爆発, 爆発的増加.",/ɪkˈspləʊʒ(ə)n/,The explosion was so loud that it shook the entire building.,爆発はとても大きかったので、建物全体が揺れました。
exploit,"【動】開発する, 搾取する.",/ɪkˈsplɔɪt/,Employers sometimes exploit their workers.,雇い主は、時に従業員を搾取する。
fairness,"【名】公正, 公平.",/fɛr.nəs/,Fairness is a quality that is admired in many cultures.,公正さは多くの文化で称賛される品質です。
fate,"【名】運命, 宿命.",/feɪt/,Fate brought us together.,運命が私たちを結びつけた。
fierce,"【形】激しい, 猛烈な.",/fɪərs/,The fierce lion roared loudly in the jungle.,獰猛なライオンがジャングルで大声でほえました。
formulate,"【動】策定する, 立案する.",/fɔːrˈmjuːleɪt/,We need to formulate our ideas clearly before the meeting.,会議前に私たちのアイデアを明確に述べる必要があります。
fraud,"【名】詐欺, 詐欺行為.",/frɔːd/,He was arrested for fraud.,彼は詐欺で逮捕された。
fringe,"【名】周縁, フリンジ.",/frɪndʒ/,She wore a beautiful shawl with fringe.,彼女はふさ飾りのついた美しいショールを身に着けていました。
frustration,"【名】挫折, 欲求不満.",/frʌsˈtreɪʃən/,I felt a deep sense of frustration when my carefully planned project failed.,私の注意深く計画されたプロジェクトが失敗した時、私は深い失望感を感じました。
generic,"【形】一般的な, 総称的な.",/dʒəˈnɛrɪk/,This is a generic example sentence.,これは一般的な例文です。
gamble,【動】賭ける;【名】賭け.,/ˈɡæmbəl/,I don't gamble because it's a risky business.,私はかけごとが危険なのでギャンブルはしない。
geography,"【名】地理学, 地理.",/dʒiˈɒɡrəfi/,"Geography is the study of the Earth's physical features, climate, and the distribution of plants, animals, and human populations.",地理学は、地球の地形、気候、植物、動物、人口の分布を研究する学問です。
citizenship,"【名】市民権, 国籍.",/sɪtɪznʃɪp/,She obtained citizenship after living in the country for five years.,彼女は５年間その国に住んだ後、市民権を取得した。
gauge,"【動】測定する, 判断する.",/ɡeɪdʒ/,The gauge of the shotgun is 12.,ショットガンのゲージは12です。
generalize,"【動】一般化する, 普遍化する.",/dʒɛnərəˈlaɪz/,It is important to generalize the results of the study to a larger population.,研究の結果をより広い人口に一般化することが重要です。
generator,"【名】発電機, 発生器.",/dʒɛnəˈreɪtər/,The generator powered the entire building during the blackout.,停電中、発電機が建物全体を動かしました。
guerrilla,【名】ゲリラ.,/ɡəˈrɪlə/,Our troops were constantly harassed by the guerrillas.,我が軍は絶えずゲリラの攻撃を受けた。
guidance,"【名】指導, 指示.",/ˈɡaɪdəns/,The teacher provided guidance to the students.,先生は生徒たちに指導を行いました。
dependence,"【名】依存, 依存症.",/dɪˈpɛndəns/,I have a strong dependence on coffee to start my day.,私は一日を始めるためにコーヒーに強く頼っています。
ideally,"【副】理想的に, 完璧に.",/ʌɪˈdiːəli/,"Ideally, I would like to travel the world.",理想的には、世界中を旅したいです。
highway,"【名】幹線道路, ハイウェイ.",/ˈhaɪweɪ/,I drove on the highway to get to the city.,私は都市に行くために高速道路を走りました。
ideological,【形】イデオロギーの;【名】イデオロギー.,/ˌaɪdiəˈlɑdʒɪkəl/,His ideological beliefs strongly influence his decision-making process.,彼のイデオロギー的な信念は彼の意思決定プロセスに強く影響を与えています。
identification,"【名】識別, 認識.",/ɑɪˌdɛntɪfɪˈkeɪʃən/,Identification is required to enter the building.,建物に入るためには身分証明が必要です。
ideology,"【名】思想, イデオロギー.",/aɪ.diˈɑl.ə.dʒi/,His ideology shaped his political beliefs.,彼のイデオロギーが彼の政治的信念を形作った。
identical,"【形】同一の, 全く同じ.",/ɪˈdɛntɪkəl/,The twins have identical haircuts.,双子は同じ髪型です。
immigration,"【名】移民, 移住.",/ˌɪmɪˈɡreɪʃən/,Immigration is a hot topic in the current political climate.,移民は現在の政治的な状況で注目されている話題です。
indicator,"【名】指標, 指示.",/ɪnˈdɪkeɪtər/,The traffic light is an indicator for drivers.,交通信号は運転手の指示器です。
indirect,【形】間接的な.,/ˌɪn.dəˈrɛkt/,He took an indirect route to avoid traffic.,彼は交通渋滞を避けるために迂回路を取った。
indifference,"【名】無関心, 冷淡.",/ɪnˈdɪfrəns/,Her indifference towards his feelings hurt him deeply.,彼の気持ちに無関心な彼女は、彼を深く傷つけた。
individually,"【副】個別に, 各自に.",/ɪnˈdɪvɪdʒuəli/,Each student will be graded individually.,各学生は個々に評価されます。
ineffective,"【形】効果のない, 効率の悪い.",/ˌɪnɪˈfɛktɪv/,The new marketing strategy turned out to be ineffective.,新しいマーケティング戦略は効果がないことがわかった。
inference,"【名】推論, 推定.",/ˈɪnfərəns/,"Upon observing the clues at the crime scene, the detective made a logical inference about the suspect's identity.",犯行現場の手がかりを観察して、刑事は容疑者の身元を論理的に推理した。
infrastructure,"【名】インフラ, 基盤施設.",/ˈɪnfrəˌstrʌk(t)ʃər/,The government is investing in infrastructure to improve transportation and communication.,政府は交通や通信を改善するためにインフラストラクチャに投資しています。
informal,"【形】非公式の, 略式の.",/ɪnˈfɔːrml/,"I'm going to a party tonight, so I'll be dressed informally.",今夜はパーティーに行くから、カジュアルな格好で行くよ。
ingredient,"【名】成分, 材料.",/ɪnˈɡriːdiənt/,Salt is an essential ingredient in cooking.,塩は料理に欠かせない成分です。
installation,"【名】設置, 設置物.",/ˌɪnstəˈleɪʃən/,The installation of the new software took longer than expected.,新しいソフトウェアのインストールは予想よりも時間がかかりました。
intensive,"【形】集中的な, 徹底的な.",/ɪnˈtɛnsɪv/,She had an intensive workout at the gym.,彼女はジムで集中的にワークアウトをした。
inspector,"【名】検査官, 検閲官.",/ɪnˈspɛktər/,The inspector examined the crime scene for any evidence.,警察官は犯罪現場を証拠物を探すために調査しました。
inspect,"【動】検査する, 点検する.",/ɪnˈspɛkt/,The mechanic will inspect the car before selling it.,車を売る前に、メカニックが検査します。
instant,"【形】瞬時の, 即座の.",/ˈɪnstənt/,I saw an instant flash of light.,私は一瞬の光を見た。
installment,"【名】分割払い, 分割金.",/ɪnˈstɔːlmənt/,I will pay for the car in monthly installments.,私は車を月々の分割払いで支払います。
intercept,"【動】傍受する, 遮断する.",/ˌɪntərˈsɛpt/,The police intercepted the suspect before he could escape.,警察は容疑者が逃げる前に捕まえました。
instruct,"【動】指示する, 教える.",/ɪnˈstrʌkt/,I will instruct you on how to use the new software.,新しいソフトウェアの使い方を教えます。
instructor,"【名】指導者, 教官.",/ɪnˈstrʌktər/,The instructor taught us how to swim.,教師は私たちに泳ぎ方を教えてくれました。
integral,"【形】不可欠な, 完全な.",/ˈɪntɪɡrəl/,Calculus is an integral part of mathematics.,微積分は数学の不可欠な部分である。
integrity,"【名】誠実, 高潔.",/ɪnˈtɛɡrəti/,She is known for her integrity and honesty.,彼女はその誠実さと正直さで知られています。
interference,"【名】干渉, 邪魔.",/ˌɪntərˈfɪərəns/,The interference from the crowd affected the player's performance.,観客からの干渉が選手のパフォーマンスに影響を与えました。
invade,"【動】侵略する, 侵害する.",/ɪnˈveɪd/,The enemy plans to invade our territory.,敵は私たちの領土に侵入する計画です。
invasion,"【名】侵略, 侵攻.",/ɪnˈveɪʒən/,The country prepared its defenses against the invasion.,国は侵入に備えて防御を準備しました。
invoice,"【名】請求書, インボイス.",/ɪnˈvɔɪs/,Please send me the invoice including the price and shipping fee.,値段と輸送料を含んだ送り状を送ってください。
invention,"【名】発明, 創案.",/ɪnˈvɛnʃən/,The invention of the telephone revolutionized communication.,電話の発明は通信を革命化しました。
jurisdiction,"【名】管轄権, 裁判権.",/d͡ʒʊɹɪsˈdɪkʃən/,The court has jurisdiction over this case.,この事件は裁判所の管轄にあります。
justification,"【名】正当化, 理由.",/d͡ʒʌstɪfɪˈkeɪʃən/,Your justification for this decision is not convincing enough.,あなたのこの決定に対する正当化は十分に説得力がありません。
launder,【動】洗浄する;【名】洗濯.,/ˈlɔːndər/,He decided to launder his clothes before the trip.,彼は旅行前に服を洗濯することに決めた。
legislature,"【名】立法府, 議会.",/lɛdʒɪsˌleɪtʃər/,The legislature passed a new law to protect the environment.,立法機関は環境保護のための新法案を可決した。
legitimacy,"【名】正当性, 合法性.",/lɪˈdʒɪtɪməsi/,The legitimacy of the new government is being questioned by the opposition.,新政府の正当性が野党によって疑問視されています。
leisure,"【名】余暇, レジャー.",/'liːʒər/,I enjoy leisure activities such as reading and hiking.,私は読書やハイキングなどのレジャー活動を楽しんでいます。
liberalization,"【名】自由化, 規制緩和.",/lɪbərəlaɪˈzeɪʃən/,The government is considering the liberalization of trade policies.,政府は貿易政策の自由化を検討しています。
leverage,"【動】テコ入れする, 影響力を行使する.",/'liːvərɪdʒ/,The company used its financial leverage to acquire new businesses.,会社は自身の経済的なレバレッジを利用して新しい事業を取得した。
liquidate,"【動】清算する, 解体する.",/lɪkwɪˈdeɪt/,The company decided to liquidate its assets.,会社は資産を清算することを決定した。
lobby,【動】ロビー活動をする.,/'lɑbi/,I waited in the lobby for my friend to arrive.,友達が到着するのを待つために、私はロビーで待っていました。
mandatory,"【形】強制的な, 必須の.",/mændəˈtɔːri/,Wearing a mask is mandatory in this building.,この建物ではマスクの着用が強制されています。
mar,"【動】傷つける, 損なう.",/mɑːr/,To mar something means to spoil or damage it.,何かを傷つけるとは、台無しにする、損傷させるという意味である。
matrix,"【名】行列, 配列.",/'meɪtrɪks/,The matrix is a mathematical concept used in linear algebra.,行列は線形代数で使用される数学的な概念です。
median,"【名】中央値, 中間値.",/miːdiən/,"The median salary for this job position in this city is $50,000 per year.",この都市でのこの職種の給与の中央値は、年間5万ドルです。
merchandise,"【名】商品, 製品.",/ˈmɜːrtʃəndaɪz/,The store offers a wide range of merchandise for sale.,その店舗では、販売用の幅広い商品が提供されています。
merchant,"【名】商人, 販売業者.",/'mɜːrtʃənt/,Marco Polo was an Italian merchant and explorer.,マルコポーロはイタリアの商人であり探検家でした。
milestone,"【名】重要な段階, 画期的な出来事.",/ˈmaɪlstoʊn/,We reached a milestone in our project when we completed the final phase.,最終フェーズを完了した時、私たちはプロジェクトでの重要な節目を迎えました。
migrant,"【名】移住者, 移民.",/ˈmaɪɡrənt/,The migrant workers contribute to the economic growth of the country.,移民労働者は国の経済成長に貢献しています。
ministry,"【名】省, 省庁.",/mɪnɪstri/,The ministry of the church is responsible for guiding and shepherding the congregation.,教会の牧師の職は、信徒を導き、羊飼いの役割を果たす責任があります。
mentor,"【名】メンター, 指導者.",/mɛnˈtɔr/,My mentor has been guiding me throughout my career.,私の指導者は私のキャリアを通じて私を指導してきました。
cruise,"【名】巡航, クルーズ.",/krʊz/,I went on a cruise to the Caribbean.,私はカリブ海クルーズに行きました。
psychology,【名】心理学.,/saɪˈkɒlədʒi/,Psychology is the study of the human mind and behavior.,心理学は人間の心と行動の研究です。
flavor,"【名】風味, 味.",/'fleɪvər/,The ice cream has a unique flavor.,そのアイスクリームは独特の風味があります。
quit,"【動】やめる, 中止する.",/kwɪt/,I decided to quit my job.,私は仕事をやめることを決めました。
overlook,"【動】見過ごす, 見落とす.",/ˌoʊvərˈlʊk/,I often overlook small details.,私はよく細かいことを見落とします。
prediction,"【名】予測, 予言.",/prɪˈdɪkʃən/,The weather prediction for tomorrow is rain.,明日の天気予報は雨です。
candidate,【名】候補者.,/kæn.dɪ.deɪt/,He is a strong candidate for the position.,彼はそのポジションの有力候補者です。
sophisticate,【名】洗練された人.,/səˈfɪstɪkeɪt/,She has a sophisticated taste in fashion.,彼女はファッションのセンスが洗練されています。
tunnel,【名】トンネル.,/ˈtʌnəl/,The train passed through a long tunnel.,電車は長いトンネルを通り抜けました。
subscribe,"【動】購読する, 申し込む.",/səbˈskraɪb/,I subscribe to several magazines.,私はいくつかの雑誌に購読しています。
suite,"【名】一式, スイート.",/sweet/,I booked a suite at the hotel for our anniversary.,私は私たちの記念日のためにホテルのスイートを予約しました。
vendor,"【名】売り手, 供給者.",/'vɛndɔr/,The vendor sells small items at the market.,その売り手は市場で小さな品物を売っています。
verify,"【動】確認する, 検証する.",/vəˈraɪ/,I'm verifying the information to make sure it's accurate.,私は情報が正確かどうかを確認しています。
sufficiently,"【副】十分に, 十分.",/səˈfɪʃəntli/,The food was cooked sufficiently.,食べ物は十分に調理されていました。
deployment,"【名】展開, 配置.",/dɪˈplɔɪmənt/,The deployment of new software was successful.,新しいソフトウェアの展開は成功しました。
applicant,"【名】志願者, 申請者.",/əˈplɪkənt/,The applicant must submit all necessary documents.,申請者は必要な全ての書類を提出しなければなりません。
pan,"【名】鍋, 平鍋.",/pæn/,I cooked soup in a pan.,私は鍋でスープを作りました。
underpin,"【動】支える, 裏付ける.",/ˌʌn.dərˈpɪn/,Education is the underpinning of a successful society.,教育は成功する社会の基盤です。
postpone,"【動】延期する, 後回しにする.",/poʊstˈpoʊn/,I need to postpone our meeting until next week.,私は私たちの会議を来週まで延期する必要があります。
comply,"【動】従う, 遵守する.",/kəmˈplaɪ/,It is important to comply with the rules and regulations.,ルールや規制に従うことが重要です。
deed,"【名】行為, 証書.",/did/,They did a good deed in helping refugees.,彼らは難民を助けるという立派な行為をした。
heir,"【名】相続人, 継承者.",/ɛər/,She is the heir to her family's fortune.,彼女は家族の財産の相続人です。
raid,"【名】襲撃, 急襲.",/reɪd/,The police conducted a raid on the suspected drug den.,警察は疑わしいドラッグの巣窟に対して強制捜査を行った。
reconciliation,"【名】和解, 調停.",/ˌɹɛkənˌsɪliˈeɪʃən/,Reconciliation is important for maintaining healthy relationships.,和解は健全な関係を維持するために重要です。
haul,【動】引きずる;【名】運搬.,/hɔl/,I need to haul all these boxes to the storage room.,これらの箱を倉庫に運ばなければなりません。
mid,"【形】中間の, 中央の.",/mɪd/,The clock is placed in the mid of the room.,時計は部屋の中央に置かれています。
militant,【名】戦闘員;【形】好戦的な.,/mɪˈlɪtənt/,He was a militant campaigner for better rights.,彼はより良い権利を求めるために積極的なキャンペーンを行った。
nasty,"【形】不快な, 意地悪な.",/ˈnæsti/,She made a nasty comment about his appearance.,彼女は彼の容姿について意地悪なコメントをした。
deduct,"【動】控除する, 差し引く.",/dɪˈdʌkt/,You can deduct your business expenses from your taxable income.,あなたは事業費を課税所得から差し引くことができます。
variance,"【名】分散, ばらつき.",/ˈvɛəriəns/,The variance in temperature throughout the year is quite significant in this region.,この地域では、年間を通じて温度のばらつきがかなり大きいです。
warehouse,"【名】倉庫, 保管場所.",/'weərhaʊs/,The goods were stored in the warehouse.,貨物は倉庫に保管されました。
